feature,mean_abs_shap,modality
t1c_log-sigma-3-0-mm-3D_firstorder_Variance,0.14045524994428976,t1c
t1c_wavelet-LLL_glcm_ClusterTendency,0.11684318349487825,t1c
t1c_glszm_GrayLevelVariance,0.1088742694417436,t1c
t1c_wavelet-LLL_ngtdm_Complexity,0.10414490404994951,t1c
t1c_wavelet-LLH_glszm_GrayLevelNonUniformityNormalized,0.10379650696843161,t1c
clin_atrx_mutation__0,0.10071260350652056,clinical
t1c_wavelet-HLL_glszm_SmallAreaLowGrayLevelEmphasis,0.09847414681339299,t1c
t1c_log-sigma-1-0-mm-3D_firstorder_Minimum,0.09838497820302393,t1c
flair_glszm_SmallAreaHighGrayLevelEmphasis,0.08977422636162126,flair
clin_idh2_mutation__2,0.0829323449331449,clinical
t1c_wavelet-HLL_glszm_LowGrayLevelZoneEmphasis,0.07997420188361412,t1c
flair_wavelet-LHH_glcm_SumAverage,0.07570410262190742,flair
flair_log-sigma-3-0-mm-3D_firstorder_Variance,0.07057716729044673,flair
flair_wavelet-LLL_glszm_SmallAreaHighGrayLevelEmphasis,0.06753009108110831,flair
t1c_log-sigma-1-0-mm-3D_glszm_ZoneEntropy,0.0626668665715079,t1c
t1c_wavelet-HLH_glszm_SmallAreaHighGrayLevelEmphasis,0.06227792136982996,t1c
t1c_log-sigma-2-0-mm-3D_firstorder_Maximum,0.058110072406433365,t1c
clin_idh1_mutation__2,0.057330226499776496,clinical
flair_wavelet-HLH_ngtdm_Contrast,0.05724431569136249,flair
flair_wavelet-LHL_firstorder_Variance,0.051290499311530686,flair
clin_mgmt_methylation__4,0.049826158100930336,clinical
t1c_log-sigma-3-0-mm-3D_glszm_GrayLevelNonUniformity,0.04938107510124311,t1c
t1c_wavelet-LHH_glszm_GrayLevelVariance,0.04693882311006879,t1c
flair_wavelet-HHL_firstorder_Mean,0.04587323986837205,flair
flair_log-sigma-0-5-mm-3D_glszm_LowGrayLevelZoneEmphasis,0.045208172406672534,flair
flair_wavelet-LLH_glszm_LowGrayLevelZoneEmphasis,0.04378449655667923,flair
t1c_wavelet-HLH_glcm_SumEntropy,0.043739877328399124,t1c
t1c_wavelet-LHH_glszm_ZoneEntropy,0.04056304306409069,t1c
flair_wavelet-LHH_firstorder_Skewness,0.038355874477299365,flair
flair_wavelet-HHL_glcm_MaximumProbability,0.03512900543635126,flair
flair_wavelet-HHL_glcm_SumAverage,0.03372542942212472,flair
flair_wavelet-LHH_glrlm_LowGrayLevelRunEmphasis,0.029001281118218536,flair
t1c_wavelet-HHH_glszm_GrayLevelVariance,0.027643112455792308,t1c
t1c_wavelet-LLL_glszm_SizeZoneNonUniformityNormalized,0.027336320073180192,t1c
t1c_gldm_DependenceVariance,0.026259442456881884,t1c
flair_log-sigma-3-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.022718011128705133,flair
t1c_shape_Sphericity,0.021360502896442868,t1c
flair_wavelet-HHH_glcm_SumAverage,0.02109897325241358,flair
t1c_wavelet-HHL_glszm_GrayLevelNonUniformityNormalized,0.0190241687918729,t1c
flair_firstorder_10Percentile,0.01865351662833008,flair
clin_1p_19q__1,0.01786674656113076,clinical
t1c_wavelet-HHL_firstorder_Skewness,0.016754883743058762,t1c
flair_wavelet-HLL_firstorder_Kurtosis,0.015248594543788569,flair
clin_atrx_mutation__2,0.008290163817254545,clinical
t1c_wavelet-LLL_ngtdm_Busyness,0.006983254973123222,t1c
t1c_wavelet-LHL_glszm_SmallAreaHighGrayLevelEmphasis,0.00546231635883849,t1c
